name,platform,year_of_release,genre,publisher,developer
Wii Sports,Wii,2006,Sports,Nintendo,Nintendo
Super Mario Bros.,NES,1985,Platform,Nintendo,
Mario Kart Wii,Wii,2008,Racing,Nintendo,Nintendo
Wii Sports Resort,Wii,2009,Sports,Nintendo,Nintendo
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,
Tetris,GB,1989,Puzzle,Nintendo,
New Super Mario Bros.,DS,2006,Platform,Nintendo,Nintendo
Wii Play,Wii,2006,Misc,Nintendo,Nintendo
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,Nintendo
Duck Hunt,NES,1984,Shooter,Nintendo,
Nintendogs,DS,2005,Simulation,Nintendo,
Mario Kart DS,DS,2005,Racing,Nintendo,Nintendo
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,
Wii Fit,Wii,2007,Sports,Nintendo,Nintendo
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,Good Science Studio
Wii Fit Plus,Wii,2009,Sports,Nintendo,Nintendo
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,Rockstar North
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,Rockstar North
Super Mario World,SNES,1990,Platform,Nintendo,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,Nintendo
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,
Super Mario Land,GB,1989,Platform,Nintendo,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,Rockstar North
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,Rockstar North
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,Nintendo
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,Polyphony Digital
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games"
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,Treyarch
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,Treyarch
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,Treyarch
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,Infinity Ward
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,"Infinity Ward, Sledgehammer Games"
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,DMA Design
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,Game Arts
Mario Kart 7,3DS,2011,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division"
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,Treyarch
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,Rockstar North
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,Nintendo
Halo 3,X360,2007,Shooter,Microsoft Game Studios,"Bungie Software, Bungie"
Super Mario 64,N64,1996,Platform,Nintendo,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,Polyphony Digital
Super Mario Galaxy,Wii,2007,Platform,Nintendo,Nintendo
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,Rockstar North
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,Polyphony Digital
Super Mario 3D Land,3DS,2011,Platform,Nintendo,Nintendo
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,Polyphony Digital
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,Infinity Ward
Super Mario All-Stars,SNES,1993,Platform,Nintendo,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,Rockstar North
