name,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating
Wii Sports,41.36,28.96,3.77,8.45,82.53,76,51,8,322,E
Super Mario Bros.,29.08,3.58,6.81,0.77,40.24,,,,,
Mario Kart Wii,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,E
Wii Sports Resort,15.61,10.93,3.28,2.95,32.77,80,73,8,192,E
Pokemon Red/Pokemon Blue,11.27,8.89,10.22,1.0,31.37,,,,,
Tetris,23.2,2.26,4.22,0.58,30.26,,,,,
New Super Mario Bros.,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,E
Wii Play,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,E
New Super Mario Bros. Wii,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,E
Duck Hunt,26.93,0.63,0.28,0.47,28.31,,,,,
Nintendogs,9.05,10.95,1.93,2.74,24.67,,,,,
Mario Kart DS,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,E
Pokemon Gold/Pokemon Silver,9.0,6.18,7.2,0.71,23.1,,,,,
Wii Fit,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,E
Kinect Adventures!,15.0,4.89,0.24,1.69,21.81,61,45,6.3,106,E
Wii Fit Plus,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,E
Grand Theft Auto V,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,M
Grand Theft Auto: San Andreas,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,M
Super Mario World,12.78,3.75,3.54,0.55,20.61,,,,,
Brain Age: Train Your Brain in Minutes a Day,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,E
Pokemon Diamond/Pokemon Pearl,6.38,4.46,6.04,1.36,18.25,,,,,
Super Mario Land,10.83,2.71,4.18,0.42,18.14,,,,,
Super Mario Bros. 3,9.54,3.44,3.84,0.46,17.28,,,,,
Grand Theft Auto V,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,M
Grand Theft Auto: Vice City,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,M
Pokemon Ruby/Pokemon Sapphire,6.06,3.9,5.38,0.5,15.85,,,,,
Brain Age 2: More Training in Minutes a Day,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,E
Pokemon Black/Pokemon White,5.51,3.17,5.65,0.8,15.14,,,,,
Gran Turismo 3: A-Spec,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,E
Call of Duty: Modern Warfare 3,9.04,4.24,0.13,1.32,14.73,88,81,3.4,8713,M
Pokémon Yellow: Special Pikachu Edition,5.89,5.04,3.12,0.59,14.64,,,,,
Call of Duty: Black Ops 3,6.03,5.86,0.36,2.38,14.63,,,,,
Call of Duty: Black Ops,9.7,3.68,0.11,1.13,14.61,87,89,6.3,1454,M
Pokemon X/Pokemon Y,5.28,4.19,4.35,0.78,14.6,,,,,
Call of Duty: Black Ops II,4.99,5.73,0.65,2.42,13.79,83,21,5.3,922,M
Call of Duty: Black Ops II,8.25,4.24,0.07,1.12,13.67,83,73,4.8,2256,M
Call of Duty: Modern Warfare 2,8.52,3.59,0.08,1.28,13.47,94,100,6.3,2698,M
Call of Duty: Modern Warfare 3,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5234,M
Grand Theft Auto III,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,M
Super Smash Bros. Brawl,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,T
Mario Kart 7,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,E
Call of Duty: Black Ops,5.99,4.37,0.48,1.79,12.63,88,58,6.4,1094,M
Grand Theft Auto V,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,M
Animal Crossing: Wild World,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,E
Halo 3,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4100,M
Super Mario 64,6.91,2.85,1.91,0.23,11.89,,,,,
Pokemon HeartGold/Pokemon SoulSilver,4.34,2.71,3.96,0.76,11.77,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.35,3.49,3.1,0.74,11.68,,,,,
Gran Turismo 4,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,E
Super Mario Galaxy,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,E
Super Mario Land 2: 6 Golden Coins,6.16,2.04,2.69,0.29,11.18,,,,,
Grand Theft Auto IV,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,M
Gran Turismo,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,E
Super Mario 3D Land,4.89,3.0,2.14,0.78,10.81,90,82,8.4,921,E
Gran Turismo 5,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,E
Call of Duty: Modern Warfare 2,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2073,M
Super Mario All-Stars,5.99,2.15,2.12,0.29,10.55,,,,,
Grand Theft Auto IV,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,M
Pokemon FireRed/Pokemon LeafGreen,4.34,2.65,3.15,0.35,10.49,,,,,
Super Mario 64,5.01,3.07,1.25,0.97,10.3,,,,,
